name,latitude_deg,longitude_deg,iata_code
Los Angeles International Airport,33.942501,-118.407997,LAX
Chicago O'Hare International Airport,41.9786,-87.9048,ORD
John F Kennedy International Airport,40.639447,-73.779317,JFK
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,ATL
San Francisco International Airport,37.61899948120117,-122.375,SFO
Newark Liberty International Airport,40.692501,-74.168701,EWR
Dallas Fort Worth International Airport,32.896801,-97.038002,DFW
Harry Reid International Airport,36.083361,-115.151817,LAS
Orlando International Airport,28.429399490356445,-81.30899810791016,MCO
Denver International Airport,39.861698150635,-104.672996521,DEN
La Guardia Airport,40.777199,-73.872597,LGA
Washington Dulles International Airport,38.9445,-77.455803,IAD
Miami International Airport,25.79319953918457,-80.29060363769531,MIA
Phoenix Sky Harbor International Airport,33.435302,-112.005905,PHX
Seattle–Tacoma International Airport,47.449162,-122.311134,SEA
Logan International Airport,42.3643,-71.005203,BOS
Philadelphia International Airport,39.87189865112305,-75.24109649658203,PHL
Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,CLT
George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,IAH
Ronald Reagan Washington National Airport,38.8521,-77.037697,DCA
Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,DTW
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,MSP
Salt Lake City International Airport,40.785749,-111.979746,SLC
Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,FLL
Chicago Midway International Airport,41.785999,-87.752403,MDW
Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,BWI
San Diego International Airport,32.7336006165,-117.190002441,SAN
St Louis Lambert International Airport,38.748697,-90.370003,STL
Daniel K Inouye International Airport,21.32062,-157.924228,HNL
Portland International Airport,45.58869934,-122.5979996,PDX
Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,MSY
Tampa International Airport,27.975500106811523,-82.533203125,TPA
Nashville International Airport,36.1245002746582,-86.6781997680664,BNA
Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,CVG
Austin Bergstrom International Airport,30.197535,-97.662015,AUS
Raleigh Durham International Airport,35.877602,-78.787498,RDU
Pittsburgh International Airport,40.49150085,-80.23290253,PIT
Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,SJC
Kansas City International Airport,39.2976,-94.713898,MCI
Metropolitan Oakland International Airport,37.721298,-122.221001,OAK
San Antonio International Airport,29.533701,-98.469803,SAT
John Wayne Orange County International Airport,33.675701,-117.867996,SNA
Memphis International Airport,35.04240036010742,-89.97669982910156,MEM
Cleveland Hopkins International Airport,41.411701,-81.8498,CLE
Indianapolis International Airport,39.7173,-86.294403,IND
John Glenn Columbus International Airport,39.998001,-82.891899,CMH
General Mitchell International Airport,42.94720077514648,-87.89659881591797,MKE
Jacksonville International Airport,30.49410057067871,-81.68789672851562,JAX
Buffalo Niagara International Airport,42.94049835,-78.73220062,BUF
Ted Stevens Anchorage International Airport,61.1744,-149.996002,ANC
Sacramento International Airport,38.69540023803711,-121.59100341796876,SMF
Eppley Airfield,41.3032,-95.894096,OMA
Palm Beach International Airport,26.68320083618164,-80.09559631347656,PBI
Louisville Muhammad Ali International Airport,38.1744,-85.736,SDF
Reno Tahoe International Airport,39.49909973144531,-119.76799774169922,RNO
Theodore Francis Green State Airport,41.725038,-71.425668,PVD
Southwest Florida International Airport,26.53619956970215,-81.75520324707031,RSW
Richmond International Airport,37.50519943237305,-77.3197021484375,RIC
Savannah Hilton Head International Airport,32.12760162,-81.20210266,SAV
Ontario International Airport,34.055999755859375,-117.60099792480467,ONT
Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,SYR
Tulsa International Airport,36.19839859008789,-95.88809967041016,TUL
Portland International Jetport,43.646198,-70.309303,PWM
Orlando Sanford International Airport,28.7775993347168,-81.23750305175781,SFB
Fairbanks International Airport,64.81510162,-147.8560028,FAI
Camarillo International Airport,34.213699,-119.094002,
Joint Base Andrews,38.810799,-76.866997,ADW
